[dotenv@17.2.3] injecting env (56) from apps/mercato/.env -- tip: ⚙️  suppress all logs with { quiet: true }
  ✓    54 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-005.spec.ts:24:3 › TC-UMES-005: Phase L — Integration Extensions › TC-UMES-L01: wizard renders with 3 steps and step indicator (1.3s)
  ✓    55 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-005.spec.ts:36:3 › TC-UMES-005: Phase L — Integration Extensions › TC-UMES-L02: wizard step 1 validation rejects empty fields (1.4s)
  ✓    56 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-005.spec.ts:48:3 › TC-UMES-005: Phase L — Integration Extensions › TC-UMES-L03: wizard completes all 3 steps and outputs result (1.6s)
  ✓    57 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-005.spec.ts:82:3 › TC-UMES-005: Phase L — Integration Extensions › TC-UMES-L04: wizard back button navigates to previous step (1.4s)
  ✓    58 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-005.spec.ts:108:3 › TC-UMES-005: Phase L — Integration Extensions › TC-UMES-L05: four status badges render with correct labels and initial colors (1.4s)
  ✓    59 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-005.spec.ts:124:3 › TC-UMES-005: Phase L — Integration Extensions › TC-UMES-L06: cycle button rotates all badge statuses (1.3s)
  ✓    60 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-005.spec.ts:146:3 › TC-UMES-005: Phase L — Integration Extensions › TC-UMES-L07: external IDs widget renders Shopify and Stripe rows (1.3s)
  ✓    61 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-005.spec.ts:159:3 › TC-UMES-005: Phase L — Integration Extensions › TC-UMES-L08: external IDs show correct sync status dots (1.4s)
  ✓    62 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-005.spec.ts:170:3 › TC-UMES-005: Phase L — Integration Extensions › TC-UMES-L09: Shopify row has external link (1.3s)
  ✓    63 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-005.spec.ts:181:3 › TC-UMES-005: Phase L — Integration Extensions › TC-UMES-L10: integration registry shows registered integrations and title lookups (1.4s)
  ✓    64 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-005.spec.ts:201:3 › TC-UMES-005: Phase L — Integration Extensions › TC-UMES-L11: page renders all four phase status indicators (1.3s)
  ✓    65 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-006-mutation-lifecycle.spec.ts:80:3 › TC-UMES-006: Mutation Lifecycle — API Tests › TC-UMES-ML01: guard registry allows valid todo creation (227ms)
